vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
81 145 4 407 397 10 yes
42 9 9 408 398 10 yes
56 31 10 409 394 15 yes
74 144 123 409 399 10 yes
63 29 29 409 404 5 yes
32 48 6 410 400 10 yes
75 9 9 410 410 0 yes
26 46 29 410 395 15 yes
64 4 6 410 400 10 yes
45 75 75 411 391 20 yes
15 24 24 412 382 30 yes
83 46 33 412 397 15 yes
29 124 124 413 403 10 yes
40 1 121 413 403 10 yes
37 33 33 414 389 25 yes
46 29 33 415 410 5 yes
49 52 52 415 405 10 yes
51 10 46 415 415 0 yes
1 39 40 415 395 20 yes
60 23 82 415 410 5 yes
54 15 16 415 405 10 yes
33 51 51 415 390 25 yes
52 49 49 415 405 10 yes
63 29 30 415 410 5 yes
53 46 148 416 411 5 yes
55 51 51 416 391 25 yes
22 17 16 416 406 10 yes
59 141 37 416 401 15 yes
72 75 75 416 406 10 yes
25 70 104 417 402 15 yes
78 10 160 417 412 5 no
79 32 32 418 413 5 yes
71 131 131 418 408 10 yes
75 9 19 418 418 0 yes
39 82 66 419 404 15 yes
5 25 25 419 404 15 yes
85 126 132 419 419 0 yes
47 33 29 420 410 10 yes
62 6 2 420 415 5 yes
23 34 54 420 410 10 yes
38 6 80 420 395 25 yes
84 1 10 421 411 10 yes
69 78 78 422 422 0 yes
8 9 19 423 398 25 yes
65 64 13 424 409 15 yes
70 53 53 424 419 5 yes
34 68 68 424 404 20 yes
46 33 33 424 419 5 yes
69 78 60 424 414 10 yes
86 164 60 425 415 10 yes
43 1 88 425 410 15 yes
67 16 88 425 415 10 yes
3 5 16 425 410 15 yes
21 53 4 425 405 20 yes
32 6 6 425 415 10 yes
29 124 2 425 410 15 yes
2 154 71 426 416 10 yes
61 60 60 426 426 0 yes
28 78 60 426 406 20 yes
30 9 9 428 408 20 yes
44 28 49 428 428 0 yes
41 75 75 428 413 15 yes
66 4 4 428 423 5 yes
42 9 156 428 413 15 yes
50 17 17 429 429 0 yes
72 75 4 429 414 15 yes
71 131 9 429 414 15 yes
16 96 1 430 420 10 yes
48 6 3 430 425 5 yes
18 12 67 430 415 15 yes
74 123 10 430 410 20 yes
23 54 54 430 415 15 yes
70 53 4 430 425 5 yes
46 33 118 430 425 5 yes
61 60 61 430 430 0 yes
79 32 43 431 421 10 yes
31 20 21 432 417 15 yes
44 49 32 432 432 0 yes
53 148 148 433 418 15 yes
12 15 15 434 409 25 yes
45 75 4 434 409 25 yes
25 104 104 434 414 20 yes
39 66 66 434 414 20 yes
27 6 29 435 405 30 yes
68 4 29 435 425 10 yes
5 25 15 435 410 25 yes
47 29 46 435 425 10 yes
66 4 12 435 420 15 yes
50 17 18 435 435 0 yes
24 0 160 436 431 5 no
51 46 46 436 436 0 yes
67 88 88 436 426 10 yes
35 108 108 437 412 25 yes
49 52 51 437 422 15 yes
11 27 27 438 413 25 yes
36 30 35 438 423 15 yes
62 2 2 438 423 15 yes
87 168 44 440 435 5 yes
57 109 163 440 430 10 no
81 4 4 440 430 10 yes
65 13 14 440 415 25 yes
86 60 86 440 430 10 yes
43 88 89 440 425 15 yes
32 6 58 440 420 20 yes
2 71 60 440 425 15 yes
73 46 68 441 441 0 yes
10 1 25 441 431 10 yes
55 51 52 443 418 25 yes
41 75 4 444 424 20 yes
33 51 56 445 415 30 yes
52 49 59 445 435 10 yes
18 67 6 445 425 20 yes
51 46 29 445 440 5 yes
20 32 32 446 411 35 yes
68 29 29 446 436 10 yes
15 24 4 447 407 40 yes
34 68 92 447 427 20 yes
63 30 6 448 438 10 yes
19 71 162 449 424 25 no
64 6 29 449 434 15 yes
85 132 133 449 449 0 yes
48 3 3 449 439 10 yes
88 164 60 450 440 10 yes
14 48 163 450 425 25 no
4 6 5 450 420 30 yes
30 9 129 450 425 25 yes
67 88 89 450 440 10 yes
10 25 25 451 436 15 yes
89 168 4 453 453 0 yes
6 19 158 453 438 15 yes
73 68 68 453 453 0 yes
17 27 28 454 434 20 yes
80 6 6 455 450 5 yes
81 4 77 455 440 15 yes
7 60 60 456 431 25 yes
76 16 4 456 446 10 yes
44 32 32 456 451 5 yes
39 66 1 456 436 20 yes
40 121 23 457 447 10 yes
38 80 29 457 422 35 yes
13 47 9 458 438 20 yes
1 40 102 458 438 20 yes
63 6 6 459 444 15 yes
29 2 36 460 445 15 yes
23 54 33 460 435 25 yes
12 15 16 460 435 25 yes
25 104 69 460 435 25 yes
68 29 4 460 445 15 yes
50 18 18 462 462 0 yes
44 32 82 462 457 5 yes
42 156 89 463 448 15 yes
62 2 63 463 448 15 yes
31 21 111 464 449 15 yes
11 27 28 464 439 25 yes
64 29 29 464 449 15 yes
48 3 4 464 449 15 yes
37 33 76 465 430 35 yes
60 82 66 465 455 10 yes
59 37 92 465 450 15 yes
70 4 6 465 460 5 yes
46 118 167 465 450 15 no
79 43 43 465 455 10 yes
27 29 29 465 435 30 yes
66 12 35 465 445 20 yes
87 44 33 465 460 5 yes
88 60 61 465 455 10 yes
89 4 6 465 455 10 yes
80 6 4 465 460 5 yes
82 10 96 467 457 10 yes
36 35 6 467 452 15 yes
75 19 166 468 458 10 no
50 18 16 468 458 10 yes
56 10 10 469 449 20 yes
54 16 163 469 459 10 no
35 108 15 469 444 25 yes
72 4 29 470 455 15 yes
85 133 0 470 465 5 yes
10 25 26 470 455 15 yes
73 68 15 470 470 0 yes
76 4 4 470 460 10 yes
70 6 3 470 465 5 yes
74 10 10 472 452 20 yes
90 164 60 474 474 0 yes
21 4 6 475 450 25 yes
63 6 91 475 460 15 yes
60 66 66 475 465 10 yes
6 158 73 477 462 15 yes
82 96 96 477 467 10 yes
61 61 99 478 468 10 yes
