vehID;Standort;Dep/Arr;Uhrzeit(Soll);umlaufstatus(Depot/Umlauf);Uhrzeit(Ist);Spalte1;Spalte2
4;4;0;955;1;981;;
4;33;1;960;1;991;;
4;33;0;960;1;991;;
4;33;1;980;1;991;;
4;33;0;980;1;991;;
4;18;1;1022;1;1033;;
4;18;0;1022;1;1033;;
4;18;1;1025;1;1033;;
4;18;0;1025;1;1033;;
4;16;1;1065;1;1073;;
4;16;0;1065;1;1073;;
4;33;1;1066;1;1074;;
4;33;0;1066;1;1074;;
4;33;1;1075;1;1074;;
4;33;0;1075;1;1075;;
4;76;1;1116;1;1121;;
4;76;0;1116;1;1121;;
4;138;1;1116;1;1126;;
4;138;0;1116;1;1126;;
4;138;1;1120;1;1126;;
4;138;0;1120;1;1126;;
4;17;1;1144;1;1160;;
4;17;0;1144;1;1160;;
4;161;1;1164;0;1185;;
5;163;0;274;1;274;;
5;131;1;313;1;274;;
5;131;0;313;1;313;;
5;9;1;356;1;313;;
5;9;0;356;1;356;;
5;4;1;360;1;356;;
5;4;0;360;1;360;;
5;77;1;373;1;360;;
5;77;0;373;1;373;;
5;25;1;384;1;373;;
5;25;0;384;1;384;;
5;25;1;385;1;384;;
5;25;0;385;1;385;;
5;15;1;425;1;385;;
5;15;0;425;1;425;;
5;15;1;435;1;425;;
5;15;0;435;1;435;;
5;6;1;475;1;435;;
5;6;0;475;1;475;;
5;6;1;480;1;475;;
5;6;0;480;1;480;;
5;55;1;521;1;480;;
5;55;0;521;1;521;;
5;55;1;524;1;521;;
5;55;0;524;1;524;;
5;4;1;565;1;524;;
5;4;0;565;1;565;;
5;29;1;566;1;565;;
5;29;0;566;1;566;;
5;29;1;570;1;566;;
5;29;0;570;1;570;;
5;46;1;624;1;570;;
5;46;0;624;1;624;;
5;0;1;637;1;624;;
5;0;0;637;1;637;;
5;0;1;642;1;637;;
5;0;0;642;1;642;;
5;109;1;680;1;642;;
5;109;0;680;1;680;;
5;163;1;696;0;680;;
5;163;0;723;1;723;;
5;6;1;735;1;723;;
5;6;0;735;1;735;;
5;91;1;762;1;735;;
5;91;0;762;1;762;;
5;58;1;762;1;762;;
5;58;0;762;1;762;;
5;58;1;767;1;762;;
5;58;0;767;1;767;;
5;4;1;790;1;767;;
5;4;0;790;1;790;;
5;29;1;791;1;790;;
5;29;0;791;1;791;;
5;29;1;795;1;791;;
5;29;0;795;1;795;;
5;30;1;823;1;795;;
5;30;0;823;1;823;;
5;6;1;824;1;823;;
5;6;0;824;1;824;;
5;6;1;825;1;824;;
5;6;0;825;1;825;;
5;45;1;844;1;825;;
5;45;0;844;1;844;;
5;45;1;860;1;844;;
5;45;0;860;1;860;;
5;29;1;880;1;860;;
5;29;0;880;1;880;;
5;6;1;881;1;880;;
5;6;0;881;1;881;;
5;6;1;885;1;881;;
5;6;0;885;1;885;;
5;45;1;917;1;885;;
5;45;0;917;1;917;;
5;29;1;925;1;917;;
5;29;0;925;1;925;;
5;29;1;930;1;925;;
5;29;0;930;1;930;;
5;4;1;952;1;930;;
5;4;0;952;1;952;;
5;4;1;960;1;952;;
5;4;0;960;1;960;;
5;117;1;990;1;960;;
5;117;0;990;1;990;;
5;6;1;1013;1;990;;
5;6;0;1013;1;1013;;
5;6;1;1020;1;1013;;
5;6;0;1020;1;1020;;
5;24;1;1046;1;1020;;
5;24;0;1046;1;1046;;
5;24;1;1047;1;1046;;
5;24;0;1047;1;1047;;
5;4;1;1075;1;1047;;
5;4;0;1075;1;1075;;
5;6;1;1075;1;1075;;
5;6;0;1075;1;1075;;
5;3;1;1089;1;1075;;
5;3;0;1089;1;1089;;
5;3;1;1094;1;1089;;
5;3;0;1094;1;1094;;
5;4;1;1107;1;1094;;
5;4;0;1107;1;1107;;
5;29;1;1108;1;1107;;
5;29;0;1108;1;1108;;
5;29;1;1110;1;1108;;
5;29;0;1110;1;1110;;
5;4;1;1128;1;1110;;
5;4;0;1128;1;1128;;
5;33;1;1133;1;1128;;
5;33;0;1133;1;1133;;
5;33;1;1135;1;1133;;
5;33;0;1135;1;1135;;
5;18;1;1177;1;1135;;
5;18;0;1177;1;1177;;
5;18;1;1188;1;1177;;
5;18;0;1188;1;1188;;
5;16;1;1228;1;1188;;
5;16;0;1228;1;1228;;
5;163;1;1240;0;1228;;
5;163;0;1278;1;1278;;
5;6;1;1290;1;1278;;
5;6;0;1290;1;1290;;
5;24;1;1312;1;1290;;
5;24;0;1312;1;1312;;
5;24;1;1319;1;1312;;
5;24;0;1319;1;1319;;
5;4;1;1345;1;1319;;
5;4;0;1345;1;1345;;
5;4;1;1350;1;1345;;
5;4;0;1350;1;1350;;
5;12;1;1360;1;1350;;
5;12;0;1360;1;1360;;
5;67;1;1360;1;1360;;
5;67;0;1360;1;1360;;
5;6;1;1375;1;1360;;
5;6;0;1375;1;1375;;
5;163;1;1390;0;1375;;
6;160;0;276;1;276;;
6;22;1;280;1;276;;
6;22;0;280;1;280;;
6;0;1;292;1;280;;
6;0;0;292;1;292;;
6;1;1;326;1;292;;
6;1;0;326;1;326;;
6;9;1;327;1;326;;
6;9;0;327;1;327;;
6;9;1;333;1;327;;
6;9;0;333;1;333;;
6;19;1;378;1;333;;
6;19;0;378;1;378;;
6;158;1;387;1;378;;
6;158;0;387;1;387;;
6;73;1;394;1;387;;
6;73;0;394;1;394;;
6;73;1;401;1;394;;
6;73;0;401;1;401;;
6;9;1;446;1;401;;
6;9;0;446;1;446;;
6;4;1;450;1;446;;
6;4;0;450;1;450;;
6;15;1;490;1;450;;
6;15;0;490;1;490;;
6;74;1;508;1;490;;
6;74;0;508;1;508;;
6;74;1;515;1;508;;
6;74;0;515;1;515;;
6;2;1;550;1;515;;
6;2;0;550;1;550;;
6;160;1;581;0;550;;
6;160;0;801;1;801;;
6;46;1;805;1;801;;
6;46;0;805;1;805;;
6;29;1;865;1;805;;
6;29;0;865;1;865;;
6;29;1;870;1;865;;
6;29;0;870;1;870;;
6;4;1;892;1;870;;
6;4;0;892;1;892;;
6;29;1;893;1;892;;
6;29;0;893;1;893;;
6;29;1;900;1;893;;
6;29;0;900;1;900;;
6;4;1;922;1;900;;
6;4;0;922;1;922;;
6;4;1;930;1;922;;
6;4;0;930;1;930;;
6;6;1;950;1;930;;
6;6;0;950;1;950;;
6;29;1;950;1;950;;
6;29;0;950;1;950;;
6;29;1;960;1;950;;
6;29;0;960;1;960;;
6;118;1;987;1;960;;
6;118;0;987;1;987;;
6;29;1;1010;1;987;;
6;29;0;1010;1;1010;;
6;29;1;1020;1;1010;;
6;29;0;1020;1;1020;;
6;46;1;1074;1;1020;;
6;46;0;1074;1;1074;;
6;160;1;1078;0;1074;;
6;160;0;1093;1;1093;;
6;46;1;1097;1;1093;;
6;46;0;1097;1;1097;;
6;33;1;1150;1;1097;;
6;33;0;1150;1;1150;;
6;1;1;1151;1;1150;;
6;1;0;1151;1;1151;;
6;1;1;1163;1;1151;;
6;1;0;1163;1;1163;;
6;31;1;1196;1;1163;;
6;31;0;1196;1;1196;;
6;10;1;1246;1;1196;;
6;10;0;1246;1;1246;;
6;10;1;1268;1;1246;;
6;10;0;1268;1;1268;;
6;11;1;1312;1;1268;;
6;11;0;1312;1;1312;;
6;160;1;1323;0;1312;;
7;164;0;278;1;278;;
7;60;1;283;1;278;;
7;60;0;283;1;283;;
7;71;1;338;1;283;;
7;71;0;338;1;338;;
7;71;1;340;1;338;;
7;71;0;340;1;340;;
7;60;1;391;1;340;;
7;60;0;391;1;391;;
7;60;1;409;1;391;;
7;60;0;409;1;409;;
7;61;1;480;1;409;;
7;61;0;480;1;480;;
7;78;1;481;1;480;;
7;78;0;481;1;481;;
7;78;1;486;1;481;;
7;78;0;486;1;486;;
7;60;1;564;1;486;;
7;60;0;564;1;564;;
7;60;1;569;1;564;;
7;60;0;569;1;569;;
7;78;1;629;1;569;;
7;78;0;629;1;629;;
7;78;1;630;1;629;;
7;78;0;630;1;630;;
7;107;1;638;1;630;;
7;107;0;638;1;638;;
7;78;1;646;1;638;;
7;78;0;646;1;646;;
7;78;1;672;1;646;;
7;78;0;672;1;672;;
7;60;1;744;1;672;;
7;60;0;744;1;744;;
7;60;1;749;1;744;;
7;60;0;749;1;749;;
7;61;1;817;1;749;;
7;61;0;817;1;817;;
7;78;1;818;1;817;;
7;78;0;818;1;818;;
7;78;1;846;1;818;;
7;78;0;846;1;846;;
7;60;1;924;1;846;;
7;60;0;924;1;924;;
7;60;1;929;1;924;;
7;60;0;929;1;929;;
7;61;1;994;1;929;;
7;61;0;994;1;994;;
7;78;1;995;1;994;;
7;78;0;995;1;995;;
7;78;1;1002;1;995;;
7;78;0;1002;1;1002;;
7;72;1;1048;1;1002;;
7;72;0;1048;1;1048;;
7;104;1;1063;1;1048;;
7;104;0;1063;1;1063;;
7;104;1;1080;1;1063;;
7;104;0;1080;1;1080;;
7;69;1;1118;1;1080;;
7;69;0;1118;1;1118;;
7;66;1;1121;1;1118;;
7;66;0;1121;1;1121;;
7;1;1;1177;1;1121;;
7;1;0;1177;1;1177;;
7;9;1;1178;1;1177;;
7;9;0;1178;1;1178;;
7;9;1;1196;1;1178;;
7;9;0;1196;1;1196;;
7;19;1;1243;1;1196;;
7;19;0;1243;1;1243;;
7;164;1;1281;0;1243;;
8;166;0;281;1;281;;
