vehID Teilumlaufnummer Standort Dep/Arr Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
68 1 75 0 389 399 / 10
34 1 133 1 380 399 5 19
34 1 133 0 380 399 / 19
73 1 33 1 390 400 10 10
73 1 33 0 390 400 / 10
79 1 43 1 390 400 10 10
79 1 43 0 390 400 / 10
38 1 6 1 370 400 10 30
38 1 6 2 370 400 / 30
38 1 6 2 375 400 0 25
38 1 6 0 375 400 / 25
55 1 51 1 386 401 5 15
55 1 51 2 386 401 / 15
82 1 1 1 719 401 5 5
82 1 1 2 719 401 / 5
55 1 51 2 388 401 0 13
55 1 51 0 388 401 / 13
82 1 1 2 720 401 0 4
82 1 1 0 720 401 / 4
83 1 160 0 403 403 / 0
37 1 16 1 388 403 10 15
37 1 16 0 388 403 / 15
13 1 47 1 375 403 5 28
13 1 47 2 375 403 / 28
84 1 163 0 404 404 / 0
44 1 27 1 384 404 10 20
44 1 27 0 384 404 / 20
49 1 52 1 395 405 5 10
49 1 52 2 395 405 / 10
33 1 43 1 385 405 10 20
33 1 43 0 385 405 / 20
54 1 15 1 395 405 5 10
54 1 15 2 395 405 / 10
80 1 74 1 395 405 10 10
80 1 74 0 395 405 / 10
54 1 15 2 405 405 0 0
54 1 15 0 405 405 / 0
85 1 169 0 406 406 / 0
49 1 52 2 407 407 0 0
49 1 52 0 407 407 / 0
42 1 9 1 388 408 10 20
42 1 9 2 388 408 / 20
30 1 9 1 398 408 5 10
30 1 9 2 398 408 / 10
5 1 77 1 373 408 10 35
5 1 77 0 373 408 / 35
18 1 67 1 370 408 10 38
18 1 67 0 370 408 / 38
42 1 9 2 398 408 0 10
42 1 9 0 398 408 / 10
30 1 9 2 400 408 0 8
30 1 9 0 400 408 / 8
7 1 60 1 391 409 10 18
7 1 60 2 391 409 / 18
39 1 82 1 399 409 5 10
39 1 82 0 399 409 / 10
50 1 18 1 394 409 5 15
50 1 18 2 394 409 / 15
56 1 31 1 394 409 5 15
56 1 31 0 394 409 / 15
4 1 5 1 373 409 10 36
4 1 5 2 373 409 / 36
48 1 35 1 384 409 10 25
48 1 35 2 384 409 / 25
31 1 21 1 404 409 5 5
31 1 21 0 404 409 / 5
71 1 95 1 394 409 10 15
71 1 95 0 394 409 / 15
37 1 33 1 389 409 5 20
37 1 33 2 389 409 / 20
7 1 60 2 409 409 0 0
7 1 60 0 409 409 / 0
50 1 18 2 403 409 0 6
50 1 18 0 403 409 / 6
4 1 5 2 375 409 0 34
4 1 5 0 375 409 / 34
48 1 35 2 387 409 0 22
48 1 35 0 387 409 / 22
16 1 10 1 385 410 10 25
16 1 10 0 385 410 / 25
41 1 9 1 390 410 10 20
41 1 9 0 390 410 / 20
33 1 51 1 385 410 5 25
33 1 51 2 385 410 / 25
33 1 51 2 390 410 0 20
33 1 51 0 390 410 / 20
19 1 162 1 392 411 5 19
6 1 19 1 378 412 10 34
6 1 19 0 378 412 / 34
10 1 0 1 407 412 5 5
10 1 0 0 407 412 / 5
83 1 46 1 407 412 5 5
83 1 46 0 407 412 / 5
2 1 154 1 396 413 5 17
2 1 154 0 396 413 / 17
32 1 48 1 395 413 5 18
32 1 48 0 395 413 / 18
66 1 39 1 398 413 10 15
66 1 39 0 398 413 / 15
13 1 47 2 413 413 0 0
13 1 47 0 413 413 / 0
21 1 53 1 384 414 5 30
21 1 53 2 384 414 / 30
15 1 4 1 385 414 5 29
15 1 4 0 385 414 / 29
21 1 53 2 385 414 0 29
21 1 53 0 385 414 / 29
47 1 33 1 400 415 10 15
47 1 33 0 400 415 / 15
64 1 4 1 400 415 10 15
64 1 4 2 400 415 / 15
60 1 23 1 400 415 5 15
60 1 23 0 400 415 / 15
37 1 33 2 415 415 0 0
37 1 33 0 415 415 / 0
16 1 96 1 385 415 5 30
16 1 96 2 385 415 / 30
64 1 4 2 405 415 0 10
64 1 4 0 405 415 / 10
40 1 1 1 386 416 10 30
40 1 1 2 386 416 / 30
59 1 141 1 396 416 10 20
59 1 141 0 396 416 / 20
22 1 17 2 416 416 0 0
22 1 17 0 416 416 / 0
40 1 1 2 393 416 0 23
40 1 1 0 393 416 / 23
45 1 4 1 865 417 5 12
45 1 4 2 865 417 / 12
35 1 108 1 392 417 10 25
35 1 108 2 392 417 / 25
14 1 47 1 389 417 5 28
14 1 47 2 389 417 / 28
81 1 145 1 407 417 10 10
81 1 145 0 407 417 / 10
38 1 80 1 387 417 5 30
38 1 80 0 387 417 / 30
45 1 4 2 870 417 0 7
45 1 4 0 870 417 / 7
35 1 108 2 399 417 0 18
35 1 108 0 399 417 / 18
14 1 47 2 390 417 0 27
14 1 47 0 390 417 / 27
3 1 5 1 390 418 10 28
3 1 5 2 390 418 / 28
71 1 131 1 398 418 5 20
71 1 131 2 398 418 / 20
3 1 5 2 405 418 0 13
3 1 5 0 405 418 / 13
71 1 131 2 399 418 0 19
71 1 131 0 399 418 / 19
74 1 144 1 409 419 10 10
74 1 144 0 409 419 / 10
65 1 64 1 409 419 5 10
65 1 64 0 409 419 / 10
