vehID Standort Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
32 47 365 373 0 8
32 47 365 373 0 8
23 29 370 375 5 5
23 29 370 375 0 5
25 69 365 375 10 10
25 69 365 375 0 10
63 4 375 375 0 0
63 4 375 375 0 0
71 160 376 376 0 0
31 20 370 376 5 6
31 20 370 376 0 6
59 139 376 376 0 0
59 139 376 376 0 0
14 134 367 377 0 10
14 134 367 377 0 10
69 60 377 377 0 0
69 60 377 377 0 0
25 69 377 377 0 0
25 69 377 377 0 0
14 134 369 377 0 8
14 134 369 377 0 8
72 168 378 378 0 0
73 163 378 378 0 0
17 28 368 378 5 10
17 28 368 378 0 10
24 109 368 378 0 10
24 109 368 378 0 10
3 4 357 378 5 21
3 4 357 378 0 21
36 29 370 378 0 8
36 29 370 378 0 8
17 28 377 378 0 1
17 28 377 378 0 1
3 4 360 378 0 18
3 4 360 378 0 18
36 29 375 378 0 3
36 29 375 378 0 3
74 168 379 379 0 0
20 82 369 379 0 10
20 82 369 379 0 10
55 56 369 379 10 10
55 56 369 379 0 10
4 5 373 379 0 6
4 5 373 379 0 6
23 33 374 379 0 5
23 33 374 379 0 5
4 5 375 379 0 4
4 5 375 379 0 4
23 33 378 379 0 1
23 33 378 379 0 1
75 166 380 380 0 0
76 161 380 380 0 0
61 71 370 380 10 10
61 71 370 380 0 10
78 160 381 381 0 0
64 145 377 382 5 5
64 145 377 382 0 5
13 47 375 383 0 8
13 47 375 383 0 8
18 12 370 383 10 13
18 12 370 383 0 13
18 67 370 383 0 13
18 67 370 383 0 13
35 2 375 385 10 10
35 2 375 385 0 10
51 143 375 385 10 10
51 143 375 385 0 10
38 4 370 385 10 15
38 4 370 385 0 15
75 47 380 385 5 5
75 47 380 385 0 5
22 17 381 386 0 5
22 17 381 386 0 5
62 103 381 386 5 5
62 103 381 386 0 5
20 49 371 386 5 15
20 49 371 386 0 15
20 49 372 386 0 14
20 49 372 386 0 14
6 19 378 387 5 9
6 19 378 387 0 9
11 27 353 387 10 34
11 27 353 387 0 34
57 0 377 387 10 10
57 0 377 387 0 10
31 20 387 387 0 0
31 20 387 387 0 0
11 27 354 387 0 33
11 27 354 387 0 33
29 1 383 388 5 5
29 1 383 388 0 5
58 60 389 389 0 0
58 60 389 389 0 0
48 35 384 389 5 5
48 35 384 389 0 5
68 75 389 389 0 0
68 75 389 389 0 0
48 35 387 389 0 2
48 35 387 389 0 2
79 165 390 390 0 0
33 43 385 390 5 5
33 43 385 390 0 5
65 14 380 390 10 10
65 14 380 390 0 10
66 97 380 390 10 10
66 97 380 390 0 10
70 6 385 390 5 5
70 6 385 390 0 5
72 6 390 390 0 0
72 6 390 390 0 0
73 33 390 390 0 0
73 33 390 390 0 0
33 51 385 390 0 5
33 51 385 390 0 5
33 51 390 390 0 0
33 51 390 390 0 0
1 40 378 392 0 14
1 40 378 392 0 14
80 161 393 393 0 0
19 71 384 393 0 9
19 71 384 393 0 9
5 77 373 393 10 20
5 77 373 393 0 20
27 4 383 393 0 10
27 4 383 393 0 10
27 4 390 393 0 3
27 4 390 393 0 3
81 168 394 394 0 0
50 18 394 394 0 0
50 18 394 394 0 0
44 27 384 394 0 10
44 27 384 394 0 10
15 4 385 394 0 9
15 4 385 394 0 9
34 133 380 394 5 14
34 133 380 394 0 14
15 6 385 394 0 9
15 6 385 394 0 9
15 6 390 394 0 4
15 6 390 394 0 4
82 9 718 395 0 0
16 10 385 395 5 10
16 10 385 395 0 10
67 18 385 395 10 10
67 18 385 395 0 10
60 6 380 395 10 15
60 6 380 395 0 15
24 109 395 395 0 0
24 109 395 395 0 0
78 123 385 395 10 10
78 123 385 395 0 10
38 6 370 395 10 25
38 6 370 395 0 25
79 43 390 395 5 5
79 43 390 395 0 5
38 6 375 395 0 20
38 6 375 395 0 20
45 75 836 396 10 20
45 75 836 396 0 20
59 141 396 396 0 0
59 141 396 396 0 0
45 75 839 396 0 17
45 75 839 396 0 17
42 9 388 398 5 10
42 9 388 398 0 10
37 16 388 398 5 10
37 16 388 398 0 10
63 79 388 398 10 10
63 79 388 398 0 10
76 101 393 398 5 5
76 101 393 398 0 5
18 6 385 398 0 13
18 6 385 398 0 13
42 9 398 398 0 0
42 9 398 398 0 0
63 79 390 398 0 8
63 79 390 398 0 8
21 53 384 399 5 15
21 53 384 399 0 15
21 53 385 399 0 14
21 53 385 399 0 14
54 15 395 400 0 5
54 15 395 400 0 5
71 94 390 400 10 10
71 94 390 400 0 10
80 74 395 400 5 5
80 74 395 400 0 5
82 1 719 401 5 5
82 1 719 401 0 5
82 1 720 401 0 4
82 1 720 401 0 4
26 46 382 402 10 20
26 46 382 402 0 20
