vehID Standort Dep/Arr Uhrzeit(Ist) Status(Depot/Umlauf)
21 53 0 384 1
19 71 1 384 1
19 71 0 384 1
48 35 1 384 1
48 35 0 384 1
5 25 1 384 1
5 25 0 384 1
16 10 1 385 1
16 10 0 385 1
33 43 1 385 1
33 43 0 385 1
15 4 1 385 1
15 4 0 385 1
67 18 1 385 1
67 18 0 385 1
18 6 1 385 1
18 6 0 385 1
70 6 1 385 1
70 6 0 385 1
78 123 1 385 1
78 123 0 385 1
26 46 1 385 1
26 46 0 385 1
21 53 1 385 1
21 53 0 385 1
5 25 1 385 1
5 25 0 385 1
16 96 1 385 1
16 96 0 385 1
33 51 1 385 1
33 51 0 385 1
15 6 1 385 1
15 6 0 385 1
18 29 1 385 1
18 29 0 385 1
40 1 1 386 1
40 1 0 386 1
55 51 1 386 1
55 51 0 386 1
31 20 1 387 1
31 20 0 387 1
38 80 1 387 1
38 80 0 387 1
6 158 1 387 1
6 158 0 387 1
48 35 1 387 1
48 35 0 387 1
42 9 1 388 1
42 9 0 388 1
37 16 1 388 1
37 16 0 388 1
63 79 1 388 1
63 79 0 388 1
55 51 1 388 1
55 51 0 388 1
58 60 1 389 1
58 60 0 389 1
14 47 1 389 1
14 47 0 389 1
68 75 1 389 1
68 75 0 389 1
37 33 1 389 1
37 33 0 389 1
79 165 0 390 1
41 9 1 390 1
41 9 0 390 1
3 5 1 390 1
3 5 0 390 1
71 94 1 390 1
71 94 0 390 1
72 6 1 390 1
72 6 0 390 1
73 33 1 390 1
73 33 0 390 1
27 4 1 390 1
27 4 0 390 1
33 51 1 390 1
33 51 0 390 1
15 6 1 390 1
15 6 0 390 1
18 29 1 390 1
18 29 0 390 1
63 79 1 390 1
63 79 0 390 1
14 47 1 390 1
14 47 0 390 1
79 43 1 390 1
79 43 0 390 1
7 60 1 391 1
7 60 0 391 1
35 108 1 392 1
35 108 0 392 1
19 162 1 392 0
80 161 0 393 1
76 101 1 393 1
76 101 0 393 1
40 1 1 393 1
40 1 0 393 1
81 168 0 394 1
50 18 1 394 1
50 18 0 394 1
56 31 1 394 1
56 31 0 394 1
34 68 1 394 1
34 68 0 394 1
6 73 1 394 1
6 73 0 394 1
71 95 1 394 1
71 95 0 394 1
82 9 0 395 1
49 52 1 395 1
49 52 0 395 1
54 15 1 395 1
54 15 0 395 1
32 48 1 395 1
32 48 0 395 1
24 109 1 395 1
24 109 0 395 1
80 74 1 395 1
80 74 0 395 1
2 154 1 396 1
2 154 0 396 1
20 32 1 396 1
20 32 0 396 1
59 141 1 396 1
59 141 0 396 1
82 1 1 396 1
82 1 0 396 1
34 68 1 397 1
34 68 0 397 1
20 32 1 397 1
20 32 0 397 1
82 1 1 397 1
82 1 0 397 1
11 28 1 398 1
11 28 0 398 1
30 9 1 398 1
30 9 0 398 1
66 39 1 398 1
66 39 0 398 1
42 9 1 398 1
42 9 0 398 1
71 131 1 398 1
71 131 0 398 1
39 82 1 399 1
39 82 0 399 1
35 108 1 399 1
35 108 0 399 1
71 131 1 399 1
71 131 0 399 1
39 66 1 399 1
39 66 0 399 1
47 33 1 400 1
47 33 0 400 1
64 4 1 400 1
64 4 0 400 1
23 34 1 400 1
23 34 0 400 1
60 23 1 400 1
60 23 0 400 1
38 29 1 400 1
38 29 0 400 1
32 6 1 400 1
32 6 0 400 1
2 71 1 400 1
2 71 0 400 1
30 9 1 400 1
30 9 0 400 1
23 54 1 400 1
23 54 0 400 1
52 55 1 401 1
52 55 0 401 1
6 73 1 401 1
6 73 0 401 1
11 55 1 401 1
11 55 0 401 1
39 66 1 401 1
39 66 0 401 1
38 6 1 401 1
38 6 0 401 1
83 160 0 403 1
36 30 1 403 1
36 30 0 403 1
29 124 1 403 1
29 124 0 403 1
41 75 1 403 1
41 75 0 403 1
50 18 1 403 1
50 18 0 403 1
84 163 0 404 1
12 16 1 404 1
12 16 0 404 1
31 21 1 404 1
31 21 0 404 1
63 6 1 404 1
63 6 0 404 1
11 55 1 404 1
11 55 0 404 1
41 75 1 404 1
41 75 0 404 1
12 1 1 404 1
12 1 0 404 1
31 111 1 404 1
31 111 0 404 1
63 29 1 404 1
63 29 0 404 1
45 4 1 405 1
45 4 0 405 1
1 39 1 405 1
1 39 0 405 1
3 5 1 405 1
3 5 0 405 1
27 12 1 405 1
27 12 0 405 1
54 15 1 405 1
54 15 0 405 1
47 29 1 405 1
47 29 0 405 1
64 4 1 405 1
64 4 0 405 1
32 6 1 405 1
32 6 0 405 1
52 49 1 405 1
52 49 0 405 1
38 6 1 405 1
38 6 0 405 1
29 124 1 405 1
29 124 0 405 1
63 29 1 405 1
